"","Gene.stable.ID","Chromosome.scaffold.name","Karyotype.band","HGNC.symbol","chr.arm"
"36386","ENSG00000198171",20,"p13","DDRGK1","20p"
"36387","ENSG00000168000",11,"q12.3","BSCL2","11q"
"36389","ENSG00000136237",7,"p15.3","RAPGEF5","7p"
"36391","ENSG00000248593",12,"p13.31","DSTNP2","12p"
"36393","ENSG00000125266",13,"q33.3","EFNB2","13q"
"36394","ENSG00000277075",6,"p22.2","HIST1H2AE","6p"
"36395","ENSG00000240370",12,"p13.31","RPL13P5","12p"
"36400","ENSG00000043514",1,"p34.2","TRIT1","1p"
"36404","ENSG00000274750",6,"p22.2","HIST1H3E","6p"
"36409","ENSG00000196083",3,"q28","IL1RAP","3q"
"36424","ENSG00000197457",20,"q13.33","STMN3","20q"
"36427","ENSG00000163002",2,"q32.1","NUP35","2q"
"36428","ENSG00000205978",14,"q12","NYNRIN","14q"
"36431","ENSG00000078668",8,"p11.21","VDAC3","8p"
"36433","ENSG00000116106",2,"q36.1","EPHA4","2q"
"36435","ENSG00000128694",2,"q32.2","OSGEPL1","2q"
"36446","ENSG00000039537",5,"p13.1","C6","5p"
"36453","ENSG00000141316",17,"q11.2","SPACA3","17q"
"36455","ENSG00000108091",10,"q21.2","CCDC6","10q"
"36460","ENSG00000166398",19,"q13.11","KIAA0355","19q"
"36462","ENSG00000063180",19,"q13.33","CA11","19q"
"36464","ENSG00000151353",2,"p25.3","TMEM18","2p"
"36466","ENSG00000155966",23,"q28","AFF2","23q"
"36467","ENSG00000196188",1,"q32.1","CTSE","1q"
"36469","ENSG00000141668",18,"q22.3","CBLN2","18q"
"36474","ENSG00000116221",1,"p32.3","MRPL37","1p"
"36475","ENSG00000180957",22,"q12.1","PITPNB","22q"
"36478","ENSG00000151687",2,"q32.2","ANKAR","2q"
"36482","ENSG00000232871",19,"q13.33","SEC1P","19q"
"36487","ENSG00000142233",19,"q13.33","NTN5","19q"
"36488","ENSG00000237412",2,"q37.1","PRSS56","2q"
"36491","ENSG00000133135",23,"q22.3","RNF128","23q"
"36493","ENSG00000226272",5,"q31.3","ARHGAP26-AS1","5q"
"36494","ENSG00000104044",15,"q13.1","OCA2","15q"
"36495","ENSG00000108405",17,"p13.2","P2RX1","17p"
"36497","ENSG00000147082",23,"p11.22","CCNB3","23p"
"36504","ENSG00000137225",6,"p21.1","CAPN11","6p"
"36507","ENSG00000184292",1,"p32.1","TACSTD2","1p"
"36508","ENSG00000121769",1,"p35.2","FABP3","1p"
"36510","ENSG00000157216",1,"p32.3","SSBP3","1p"
"36513","ENSG00000144559",3,"p25.2","TAMM41","3p"
"36514","ENSG00000198049",1,"q32.1","AVPR1B","1q"
"36515","ENSG00000118507",6,"q23.2","AKAP7","6q"
"36516","ENSG00000124575",6,"p22.2","HIST1H1D","6p"
"36517","ENSG00000109182",4,"p11","CWH43","4p"
"36525","ENSG00000106733",9,"q21.13","NMRK1","9q"
"36528","ENSG00000235812",14,"q24.2","ADAM21P1","14q"
"36530","ENSG00000107164",9,"q34.11","FUBP3","9q"
"36532","ENSG00000184492",2,"q14.1","FOXD4L1","2q"
"36533","ENSG00000234857",11,"q12.3","HNRNPUL2-BSCL2","11q"
"36534","ENSG00000160570",19,"q13.2","DEDD2","19q"
"36535","ENSG00000118496",6,"q24.3","FBXO30","6q"
"36537","ENSG00000134253",1,"p13.1","TRIM45","1p"
"36538","ENSG00000275385",17,"q12","CCL18","17q"
"36542","ENSG00000105705",19,"p13.11","SUGP1","19p"
"36544","ENSG00000266028",1,"q32.1","SRGAP2","1q"
"36546","ENSG00000154764",3,"p25.1","WNT7A","3p"
"36548","ENSG00000176920",19,"q13.33","FUT2","19q"
"36549","ENSG00000178243",9,"q34.3","C9orf62","9q"
"36553","ENSG00000163631",4,"q13.3","ALB","4q"
"36554","ENSG00000139899",14,"q12","CBLN3","14q"
"36562","ENSG00000122375",10,"q23.2","OPN4","10q"
"36563","ENSG00000257923",7,"q22.1","CUX1","7q"
"36568","ENSG00000086570",5,"q33.1","FAT2","5q"
"36572","ENSG00000100445",14,"q12","SDR39U1","14q"
"36574","ENSG00000235954",22,"q12.1","TTC28-AS1","22q"
"36581","ENSG00000162601",1,"p32.1","MYSM1","1p"
"36584","ENSG00000124818",6,"p12.3","OPN5","6p"
"36585","ENSG00000131068",20,"q11.21","DEFB118","20q"
"36588","ENSG00000185518",15,"q26.1","SV2B","15q"
"36597","ENSG00000134884",13,"q33.3","ARGLU1","13q"
"36603","ENSG00000137872",15,"q21.1","SEMA6D","15q"
"36607","ENSG00000139266",12,"q14.1","MARCH9","12q"
"36608","ENSG00000258644",14,"q24.2","SYNJ2BP-COX16","14q"
"36611","ENSG00000171403",17,"q21.2","KRT9","17q"
"36615","ENSG00000198933",17,"q21.32","TBKBP1","17q"
"36619","ENSG00000135446",12,"q14.1","CDK4","12q"
"36622","ENSG00000100154",22,"q12.1","TTC28","22q"
"36627","ENSG00000168928",16,"q23.1","CTRB2","16q"
"36628","ENSG00000170889",19,"q13.42","RPS9","19q"
"36631","ENSG00000100100",22,"q12.2","PIK3IP1","22q"
"36632","ENSG00000105221",19,"q13.2","AKT2","19q"
"36634","ENSG00000176909",19,"q13.33","MAMSTR","19q"
"36637","ENSG00000127452",19,"p13.2","FBXL12","19p"
"36639","ENSG00000111144",12,"q23.1","LTA4H","12q"
"36641","ENSG00000275302",17,"q12","CCL4","17q"
"36649","ENSG00000196422",9,"q34.3","PPP1R26","9q"
"36651","ENSG00000166405",11,"p15.4","RIC3","11p"
"36659","ENSG00000213463",14,"q24.2","SYNJ2BP","14q"
"36660","ENSG00000120053",10,"q24.2","GOT1","10q"
"36666","ENSG00000154856",18,"p11.22","APCDD1","18p"
"36669","ENSG00000133983",14,"q24.2","COX16","14q"
"36671","ENSG00000133119",13,"q13.2","RFC3","13q"
"36672","ENSG00000100105",22,"q12.2","PATZ1","22q"
"36679","ENSG00000226372",23,"p21.3","DCAF8L1","23p"
"36683","ENSG00000274618",6,"p22.2","HIST1H4F","6p"
"36684","ENSG00000177606",1,"p32.1","JUN","1p"
"36685","ENSG00000277632",17,"q12","CCL3","17q"
"36687","ENSG00000127914",7,"q21.2","AKAP9","7q"
"36688","ENSG00000275663",6,"p22.2","HIST1H4G","6p"
"36691","ENSG00000180438",3,"p25.1","TPRXL","3p"
"36692","ENSG00000186847",17,"q21.2","KRT14","17q"
"36695","ENSG00000277775",6,"p22.2","HIST1H3F","6p"
"36697","ENSG00000166922",15,"q13.3","SCG5","15q"
"36698","ENSG00000160345",9,"q34.3","C9orf116","9q"
"36699","ENSG00000275713",6,"p22.2","HIST1H2BH","6p"
"36701","ENSG00000100441",14,"q12","KHNYN","14q"
"36704","ENSG00000167550",12,"q13.12","RHEBL1","12q"
"36705","ENSG00000117983",11,"p15.5","MUC5B","11p"
"36707","ENSG00000273983",6,"p22.2","HIST1H3G","6p"
"36712","ENSG00000101846",23,"p22.31","STS","23p"
"36713","ENSG00000215883",1,"p32.3","CYB5RL","1p"
"36714","ENSG00000135439",12,"q14.1","AGAP2","12q"
"36715","ENSG00000196550",1,"q32.1","FAM72A","1q"
"36717","ENSG00000155897",8,"q24.22","ADCY8","8q"
"36718","ENSG00000179387",4,"q31.1","ELMOD2","4q"
"36719","ENSG00000105538",19,"q13.33","RASIP1","19q"
"36720","ENSG00000003096",23,"q24","KLHL13","23q"
"36721","ENSG00000122140",9,"q34.3","MRPS2","9q"
"36727","ENSG00000166402",11,"p15.4","TUB","11p"
"36731","ENSG00000169635",22,"q11.21","HIC2","22q"
"36735","ENSG00000140320",15,"q15.1","BAHD1","15q"
"36736","ENSG00000129933",19,"p13.11","MAU2","19p"
"36737","ENSG00000139549",12,"q13.12","DHH","12q"
"36742","ENSG00000125870",20,"p12.1","SNRPB2","20p"
"36748","ENSG00000157211",1,"p32.3","CDCP2","1p"
"36752","ENSG00000134762",18,"q12.1","DSC3","18q"
"36753","ENSG00000120656",1,"p35.3","TAF12","1p"
"36758","ENSG00000128513",7,"q31.33","POT1","7q"
"36773","ENSG00000126247",19,"q13.12","CAPNS1","19q"
"36776","ENSG00000139946",14,"q22.3","PELI2","14q"
"36778","ENSG00000128908",15,"q15.1","INO80","15q"
"36784","ENSG00000147536",8,"p11.21","GINS4","8p"
"36785","ENSG00000263528",1,"q32.1","IKBKE","1q"
"36789","ENSG00000162373",1,"p33","BEND5","1p"
"36790","ENSG00000170629",7,"q22.1","DPY19L2P2","7q"
"36794","ENSG00000087266",4,"p16.3","SH3BP2","4p"
"36796","ENSG00000135452",12,"q14.1","TSPAN31","12q"
"36800","ENSG00000188060",1,"p35.3","RAB42","1p"
"36803","ENSG00000100418",22,"q13.2","DESI1","22q"
"36804","ENSG00000092148",14,"q12","HECTD1","14q"
"36808","ENSG00000244482",19,"q13.42","LILRA6","19q"
"36813","ENSG00000055917",2,"p24.1","PUM2","2p"
"36816","ENSG00000022355",5,"q34","GABRA1","5q"
"36817","ENSG00000182583",23,"p22.31","VCX","23p"
"36819","ENSG00000182264",19,"q13.33","IZUMO1","19q"
"36825","ENSG00000186094",1,"p33","AGBL4","1p"
"36826","ENSG00000172995",3,"p22.3","ARPP21","3p"
"36829","ENSG00000148484",10,"p13","RSU1","10p"
"36830","ENSG00000126870",7,"q36.3","WDR60","7q"
"36833","ENSG00000099284",10,"q22.1","H2AFY2","10q"
"36839","ENSG00000110934",12,"q13.13","BIN2","12q"
"36841","ENSG00000047578",16,"p12.1","KIAA0556","16p"
"36845","ENSG00000278588",6,"p22.2","HIST1H2BI","6p"
"36846","ENSG00000167625",19,"q13.2","ZNF526","19q"
"36847","ENSG00000108509",17,"p13.2","CAMTA2","17p"
"36848","ENSG00000158406",6,"p22.2","HIST1H4H","6p"
"36851","ENSG00000042286",10,"q22.1","AIFM2","10q"
"36854","ENSG00000122367",10,"q23.2","LDB3","10q"
"36857","ENSG00000139985",14,"q24.2","ADAM21","14q"
"36858","ENSG00000259158",14,"q24.2","ADAM20P1","14q"
"36859","ENSG00000134258",1,"p12","VTCN1","1p"
"36866","ENSG00000134007",14,"q24.2","ADAM20","14q"
"36871","ENSG00000204577",19,"q13.42","LILRB3","19q"
"36872","ENSG00000112576",6,"p21.1","CCND3","6p"
"36873","ENSG00000131323",14,"q32.32","TRAF3","14q"
"36874","ENSG00000135902",2,"q37.1","CHRND","2q"
"36875","ENSG00000118520",6,"q23.2","ARG1","6q"
"36878","ENSG00000086504",16,"p13.3","MRPL28","16p"
"36879","ENSG00000175697",3,"q13.33","GPR156","3q"
"36881","ENSG00000115761",2,"p25.1","NOL10","2p"
"36883","ENSG00000164418",6,"q16.3","GRIK2","6q"
"36888","ENSG00000139610",12,"q13.13","CELA1","12q"
"36890","ENSG00000254462",11,"q12.1","TMX2-CTNND1","11q"
"36896","ENSG00000116096",2,"p13.2","SPR","2p"
"36900","ENSG00000198162",1,"p12","MAN1A2","1p"
"36906","ENSG00000234492",4,"q25","RPL34-AS1","4q"
"36908","ENSG00000238244",15,"q26.1","GABARAPL3","15q"
"36911","ENSG00000226516",2,"q14.1","FAM138B","2q"
"36916","ENSG00000233436",11,"q12.1","BTBD18","11q"
"36919","ENSG00000135638",2,"p13.2","EMX1","2p"
"36921","ENSG00000050820",16,"q23.1","BCAR1","16q"
"36923","ENSG00000277258",17,"q12","PCGF2","17q"
"36925","ENSG00000163116",4,"q23","STPG2","4q"
"36927","ENSG00000213593",11,"q12.1","TMX2","11q"
"36928","ENSG00000170419",7,"p11.2","VSTM2A","7p"
"36931","ENSG00000119608",14,"q24.3","PROX2","14q"
"36932","ENSG00000172006",19,"p13.3","ZNF554","19p"
"36933","ENSG00000121578",3,"q13.32","B4GALT4","3q"
"36940","ENSG00000119596",14,"q24.3","YLPM1","14q"
"36945","ENSG00000129925",16,"p13.3","TMEM8A","16p"
"36947","ENSG00000272274",13,"q33.3","LINC00551","13q"
"36948","ENSG00000109475",4,"q25","RPL34","4q"
"36949","ENSG00000168528",1,"p35.2","SERINC2","1p"
"36950","ENSG00000126838",12,"p13.31","PZP","12p"
"36952","ENSG00000102385",23,"q22.1","DRP2","23q"
"36956","ENSG00000143486",1,"q32.1","EIF2D","1q"
"36959","ENSG00000135250",7,"q22.3","SRPK2","7q"
"36963","ENSG00000213453",2,"p23.3","FTH1P3","2p"
"36964","ENSG00000196391",15,"q26.1","ZNF774","15q"
"36965","ENSG00000115241",2,"p23.3","PPM1G","2p"
"36967","ENSG00000112282",6,"q23.2","MED23","6q"
"36971","ENSG00000113140",5,"q33.1","SPARC","5q"
"36979","ENSG00000173193",3,"q21.1","PARP14","3q"
"36982","ENSG00000109323",4,"q24","MANBA","4q"
"36984","ENSG00000196505",1,"p12","GDAP2","1p"
"36985","ENSG00000198561",11,"q12.1","CTNND1","11q"
"36988","ENSG00000073861",17,"q21.32","TBX21","17q"
"36989","ENSG00000277972",17,"q12","CISD3","17q"
"36990","ENSG00000067334",1,"p22.1","DNTTIP2","1p"
"36995","ENSG00000163428",3,"q13.33","LRRC58","3q"
"36997","ENSG00000274808",17,"q12","TBC1D3B","17q"
"36998","ENSG00000174607",4,"q26","UGT8","4q"
"37001","ENSG00000138071",2,"p14","ACTR2","2p"
"37002","ENSG00000266094",1,"q32.1","RASSF5","1q"
"37003","ENSG00000117155",1,"p22.3","SSX2IP","1p"
"37004","ENSG00000166796",11,"p15.1","LDHC","11p"
"37005","ENSG00000100722",14,"q31.3","ZC3H14","14q"
"37007","ENSG00000023909",1,"p22.1","GCLM","1p"
"37009","ENSG00000186767",23,"q11.1","SPIN4","23q"
"37011","ENSG00000146556",2,"q14.1","WASH2P","2q"
"37020","ENSG00000236397",2,"q14.1","DDX11L2","2q"
"37024","ENSG00000162419",1,"p35.3","GMEB1","1p"
"37025","ENSG00000111145",12,"q23.1","ELK3","12q"
"37029","ENSG00000225179",13,"q13.2","LINC00457","13q"
"37031","ENSG00000091844",6,"q25.2","RGS17","6q"
"37045","ENSG00000163430",3,"q13.33","FSTL1","3q"
"37047","ENSG00000124839",2,"q37.3","RAB17","2q"
"37052","ENSG00000169306",23,"p21.3","IL1RAPL1","23p"
"37053","ENSG00000175018",10,"q26.13","TEX36","10q"
"37055","ENSG00000180483",20,"q11.21","DEFB119","20q"
"37061","ENSG00000143479",1,"q32.1","DYRK3","1q"
"37063","ENSG00000214188",7,"q31.2","ST7-OT4","7q"
"37065","ENSG00000092853",1,"p34.3","CLSPN","1p"
"37066","ENSG00000198856",4,"q25","OSTC","4q"
"37083","ENSG00000099399",23,"p21.2","MAGEB2","23p"
"37087","ENSG00000138668",4,"q21.22","HNRNPD","4q"
"37088","ENSG00000168925",16,"q23.1","CTRB1","16q"
"37089","ENSG00000226367",7,"q31.2","ST7-AS2","7q"
"37092","ENSG00000198798",23,"p21.2","MAGEB3","23p"
"37096","ENSG00000204548",20,"q11.21","DEFB121","20q"
"37097","ENSG00000175567",11,"q13.4","UCP2","11q"
"37098","ENSG00000196811",2,"q37.1","CHRNG","2q"
"37099","ENSG00000120289",23,"p21.2","MAGEB4","23p"
"37100","ENSG00000214107",23,"p21.2","MAGEB1","23p"
"37102","ENSG00000155761",1,"p12","SPAG17","1p"
"37104","ENSG00000227199",7,"q31.2","ST7-AS1","7q"
"37107","ENSG00000105609",19,"q13.42","LILRB5","19q"
"37110","ENSG00000105723",19,"q13.2","GSK3A","19q"
"37114","ENSG00000141425",18,"q12.2","RPRD1A","18q"
"37116","ENSG00000096654",6,"p22.1","ZNF184","6p"
"37117","ENSG00000130561",2,"q37.1","SAG","2q"
"37118","ENSG00000146006",5,"q31.2","LRRTM2","5q"
"37119","ENSG00000162889",1,"q32.1","MAPKAPK2","1q"
"37120","ENSG00000107779",10,"q23.2","BMPR1A","10q"
"37121","ENSG00000125999",20,"q11.21","BPIFB1","20q"
"37123","ENSG00000137337",6,"p21.33","MDC1","6p"
"37125","ENSG00000044115",5,"q31.2","CTNNA1","5q"
"37126","ENSG00000166261",11,"q24.1","ZNF202","11q"
"37127","ENSG00000006025",17,"q21.32","OSBPL7","17q"
"37128","ENSG00000196388",17,"p13.2","INCA1","17p"
"37132","ENSG00000138698",4,"q23","RAP1GDS1","4q"
"37133","ENSG00000112837",6,"q14.3","TBX18","6q"
"37134","ENSG00000105722",19,"q13.2","ERF","19q"
"37139","ENSG00000050438",12,"q13.13","SLC4A8","12q"
"37140","ENSG00000155592",16,"p12.1","ZKSCAN2","16p"
"37145","ENSG00000105509",19,"q13.41","HAS1","19q"
"37147","ENSG00000078177",4,"p14","N4BP2","4p"
"37151","ENSG00000125877",20,"p13","ITPA","20p"
"37153","ENSG00000224116",7,"p14.1","INHBA-AS1","7p"
"37155","ENSG00000185105",17,"q25.3","MYADML2","17q"
"37159","ENSG00000166342",18,"q22.3","NETO1","18q"
"37161","ENSG00000122641",7,"p14.1","INHBA","7p"
"37163","ENSG00000173210",5,"q32","ABLIM3","5q"
"37165","ENSG00000276085",17,"q12","CCL3L3","17q"
"37166","ENSG00000276085",17,"q12","CCL3L1","17q"
"37168","ENSG00000183010",17,"q25.3","PYCR1","17q"
"37169","ENSG00000136634",1,"q32.1","IL10","1q"
"37171","ENSG00000136274",7,"p13","NACAD","7p"
"37174","ENSG00000135930",2,"q37.1","EIF4E2","2q"
"37175","ENSG00000140015",14,"q23.2","KCNH5","14q"
"37183","ENSG00000204547",20,"q11.21","DEFB122","20q"
"37184","ENSG00000131471",17,"q21.31","AOC3","17q"
"37188","ENSG00000198336",17,"q21.32","MYL4","17q"
"37192","ENSG00000105376",19,"p13.2","ICAM5","19p"
"37198","ENSG00000133997",14,"q24.2","MED6","14q"
"37200","ENSG00000065183",1,"p12","WDR3","1p"
"37201","ENSG00000142224",1,"q32.1","IL19","1q"
"37204","ENSG00000128039",4,"q12","SRD5A3","4q"
"37205","ENSG00000111196",12,"p13.2","MAGOHB","12p"
"37207","ENSG00000144821",3,"q13.13","MYH15","3q"
"37211","ENSG00000198752",14,"q32.32","CDC42BPB","14q"
"37213","ENSG00000166313",11,"p15.4","APBB1","11p"
"37216","ENSG00000176463",15,"q26.1","SLCO3A1","15q"
"37218","ENSG00000249700",4,"q12","SRD5A3-AS1","4q"
"37220","ENSG00000166923",15,"q13.3","GREM1","15q"
"37224","ENSG00000221931",11,"q24.1","OR6X1","11q"
"37225","ENSG00000135976",2,"q11.2","ANKRD36","2q"
"37226","ENSG00000162891",1,"q32.1","IL20","1q"
"37231","ENSG00000099991",22,"q11.23","CABIN1","22q"
"37233","ENSG00000182979",14,"q32.33","MTA1","14q"
"37235","ENSG00000131043",20,"q11.23","AAR2","20q"
"37236","ENSG00000169297",23,"p21.2","NR0B1","23p"
"37243","ENSG00000139173",12,"q12","TMEM117","12q"
"37245","ENSG00000120471",11,"q24.3","TP53AIP1","11q"
"37246","ENSG00000120280",23,"p21.2","CXorf21","23p"
"37247","ENSG00000133874",8,"p12","RNF122","8p"
"37248","ENSG00000244694",6,"p12.3","PTCHD4","6p"
"37251","ENSG00000152242",18,"q21.1","C18orf25","18q"
"37253","ENSG00000059758",12,"q23.1","CDK17","12q"
"37255","ENSG00000076662",19,"p13.2","ICAM3","19p"
"37256","ENSG00000184381",22,"q13.1","PLA2G6","22q"
"37257","ENSG00000133878",8,"p12","DUSP26","8p"
"37258","ENSG00000130711",9,"q34.12","PRDM12","9q"
"37262","ENSG00000162892",1,"q32.1","IL24","1q"
"37264","ENSG00000156521",10,"q22.1","TYSND1","10q"
"37266","ENSG00000174951",19,"q13.33","FUT1","19q"
"37270","ENSG00000266074",17,"q25.3","BAHCC1","17q"
"37275","ENSG00000108100",10,"p11.21","CCNY","10p"
"37279","ENSG00000143878",2,"p24.1","RHOB","2p"
"37280","ENSG00000083937",3,"p11.2","CHMP2B","3p"
"37281","ENSG00000106571",7,"p14.1","GLI3","7p"
"37282","ENSG00000166126",14,"q32.32","AMN","14q"
"37283","ENSG00000164828",7,"p22.3","SUN1","7p"
"37285","ENSG00000178038",3,"p21.31","ALS2CL","3p"
"37286","ENSG00000220201",19,"p13.2","ZGLP1","19p"
"37289","ENSG00000123338",12,"q13.13","NCKAP1L","12q"
"37290","ENSG00000227533",1,"p34.2","SLC2A1-AS1","1p"
"37292","ENSG00000133805",11,"p15.4","AMPD3","11p"
"37295","ENSG00000168575",8,"p11.21","SLC20A2","8p"
"37296","ENSG00000142910",1,"p35.2","TINAGL1","1p"
"37298","ENSG00000134265",18,"p11.22","NAPG","18p"
"37299","ENSG00000117394",1,"p34.2","SLC2A1","1p"
"37308","ENSG00000073803",3,"q27.2","MAP3K13","3q"
"37312","ENSG00000180233",7,"p14.3","ZNRF2","7p"
"37316","ENSG00000161847",19,"p13.2","RAVER1","19p"
"37318","ENSG00000166426",15,"q25.1","CRABP1","15q"
"37330","ENSG00000157510",5,"q32","AFAP1L1","5q"
"37332","ENSG00000171051",19,"q13.41","FPR1","19q"
"37342","ENSG00000154556",4,"q35.1","SORBS2","4q"
"37350","ENSG00000092607",1,"p12","TBX15","1p"
"37352","ENSG00000108684",17,"q12","ASIC2","17q"
"37353","ENSG00000187474",19,"q13.41","FPR3","19q"
"37355","ENSG00000152484",13,"q12.13","USP12","13q"
"37361","ENSG00000198093",19,"q13.41","ZNF649","19q"
"37363","ENSG00000146587",7,"p22.1","RBAK","7p"
"37364","ENSG00000196099",11,"q24.1","OR6M1","11q"
"37367","ENSG00000213373",17,"q21.31","LINC00671","17q"
"37370","ENSG00000185130",6,"p22.1","HIST1H2BL","6p"
"37378","ENSG00000078902",11,"p15.5","TOLLIP","11p"
"37379","ENSG00000196747",6,"p22.1","HIST1H2AI","6p"
"37382","ENSG00000185022",22,"q13.1","MAFF","22q"
"37385","ENSG00000126785",14,"q23.2","RHOJ","14q"
"37391","ENSG00000278828",6,"p22.1","HIST1H3H","6p"
"37392","ENSG00000060140",12,"p13.2","STYK1","12p"
"37397","ENSG00000171049",19,"q13.41","FPR2","19q"
"37399","ENSG00000105550",19,"q13.33","FGF21","19q"
"37402","ENSG00000196204",7,"p22.1","RNF216P1","7p"
"37404","ENSG00000204300",11,"q24.1","TMEM225","11q"
"37409","ENSG00000023734",12,"p12.3","STRAP","12p"
"37410","ENSG00000162896",1,"q32.1","PIGR","1q"
"37414","ENSG00000102387",23,"q22.1","TAF7L","23q"
"37420","ENSG00000161551",19,"q13.41","ZNF577","19q"
"37421","ENSG00000139629",12,"q13.13","GALNT6","12q"
"37423","ENSG00000221944",2,"q37.1","TIGD1","2q"
"37425","ENSG00000121211",4,"q31.3","MND1","4q"
"37427","ENSG00000115468",2,"q37.1","EFHD1","2q"
"37428","ENSG00000274588",23,"p11.22","DGKK","23p"
"37433","ENSG00000132432",7,"p11.2","SEC61G","7p"
"37436","ENSG00000125571",2,"q14.1","IL37","2q"
"37438","ENSG00000180424",20,"q11.21","DEFB123","20q"
"37445","ENSG00000197238",6,"p22.1","HIST1H4J","6p"
"37450","ENSG00000163900",3,"q27.2","TMEM41A","3q"
"37452","ENSG00000276903",6,"p22.1","HIST1H2AL","6p"
"37454","ENSG00000135447",12,"q13.2","PPP1R1A","12q"
"37455","ENSG00000080845",20,"q11.23","DLGAP4","20q"
"37456","ENSG00000276368",6,"p22.1","HIST1H2AJ","6p"
"37458","ENSG00000088320",20,"q11.21","REM1","20q"
"37459","ENSG00000233822",6,"p22.1","HIST1H2BN","6p"
"37460","ENSG00000179600",14,"q23.2","GPHB5","14q"
"37463","ENSG00000139636",12,"q13.12","LMBR1L","12q"
"37467","ENSG00000176371",15,"q25.2","ZSCAN2","15q"
"37468","ENSG00000278677",6,"p22.1","HIST1H2AM","6p"
"37470","ENSG00000162897",1,"q32.1","FCAMR","1q"
"37471","ENSG00000275379",6,"p22.1","HIST1H3I","6p"
"37472","ENSG00000180383",20,"q11.21","DEFB124","20q"
"37473","ENSG00000186973",1,"p34.2","FAM183A","1p"
"37478","ENSG00000123360",12,"q13.2","PDE1B","12q"
"37479","ENSG00000233354",20,"q11.21","LINC00028","20q"
"37480","ENSG00000273542",6,"p22.1","HIST1H4K","6p"
"37482","ENSG00000184357",6,"p22.1","HIST1H1B","6p"
"37484","ENSG00000166902",11,"q12.1","MRPL16","11q"
"37485","ENSG00000275221",6,"p22.1","HIST1H2AK","6p"
"37486","ENSG00000133131",23,"q22.3","MORC4","23q"
"37488","ENSG00000197153",6,"p22.1","HIST1H3J","6p"
"37492","ENSG00000196230",6,"p21.33","TUBB","6p"
"37494","ENSG00000275126",6,"p22.1","HIST1H4L","6p"
"37498","ENSG00000273703",6,"p22.1","HIST1H2BM","6p"
"37500","ENSG00000124743",6,"p12.1","KLHL31","6p"
"37502","ENSG00000064835",3,"p11.2","POU1F1","3p"
"37503","ENSG00000138653",4,"q26","NDST4","4q"
"37504","ENSG00000107611",10,"p13","CUBN","10p"
"37506","ENSG00000214694",2,"p22.1","ARHGEF33","2p"
"37508","ENSG00000167695",17,"p13.3","FAM57A","17p"
"37509","ENSG00000078081",3,"q27.1","LAMP3","3q"
"37512","ENSG00000135318",6,"q14.3","NT5E","6q"
"37514","ENSG00000256069",12,"p13.31","A2MP1","12p"
"37515","ENSG00000198369",2,"p14","SPRED2","2p"
"37517","ENSG00000137269",6,"p12.1","LRRC1","6p"
"37519","ENSG00000129493",14,"q12","HEATR5A","14q"
"37525","ENSG00000181518",11,"q24.1","OR8D4","11q"
"37526","ENSG00000226174",14,"q32.33","TEX22","14q"
"37527","ENSG00000182795",1,"q32.1","C1orf116","1q"
"37531","ENSG00000147223",23,"q22.3","RIPPLY1","23q"
"37532","ENSG00000188010",2,"p22.1","MORN2","2p"
"37533","ENSG00000116874",1,"p12","WARS2","1p"
"37534","ENSG00000171517",1,"p22.3","LPAR3","1p"
"37535","ENSG00000167130",9,"q34.11","DOLPP1","9q"
"37544","ENSG00000165376",23,"q22.3","CLDN2","23q"
"37548","ENSG00000131482",17,"q21.31","G6PC","17q"
"37550","ENSG00000153898",1,"p22.3","MCOLN2","1p"
"37552","ENSG00000079332",10,"q22.1","SAR1A","10q"
"37554","ENSG00000133138",23,"q22.3","TBC1D8B","23q"
"37556","ENSG00000177082",15,"q25.2","WDR73","15q"
"37558","ENSG00000138180",10,"q23.33","CEP55","10q"
"37559","ENSG00000180667",1,"q32.1","YOD1","1q"
"37568","ENSG00000104419",8,"q24.22","NDRG1","8q"
"37570","ENSG00000126953",23,"q22.1","TIMM8A","23q"
"37572","ENSG00000165025",9,"q22.2","SYK","9q"
"37578","ENSG00000023697",12,"p12.3","DERA","12p"
"37579","ENSG00000106018",7,"q36.3","VIPR2","7q"
"37580","ENSG00000101335",20,"q11.23","MYL9","20q"
"37581","ENSG00000162374",1,"p33","ELAVL4","1p"
"37582","ENSG00000123836",1,"q32.1","PFKFB2","1q"
"37585","ENSG00000198691",1,"p22.1","ABCA4","1p"
"37586","ENSG00000154001",14,"q23.2","PPP2R5E","14q"
"37588","ENSG00000116882",1,"p12","HAO2","1p"
"37589","ENSG00000135373",11,"p13","EHF","11p"
"37590","ENSG00000134812",11,"q12.1","GIF","11q"
"37591","ENSG00000148842",10,"q24.32","CNNM2","10q"
"37597","ENSG00000177291",10,"p11.21","GJD4","10p"
"37598","ENSG00000163933",3,"p21.1","RFT1","3p"
"37603","ENSG00000160349",9,"q34.3","LCN1","9q"
"37607","ENSG00000166800",11,"p15.1","LDHAL6A","11p"
"37609","ENSG00000076685",10,"q24.33","NT5C2","10q"
"37610","ENSG00000130713",9,"q34.12","EXOSC2","9q"
"37616","ENSG00000105552",19,"q13.33","BCAT2","19q"
"37633","ENSG00000165521",14,"q31.3","EML5","14q"
"37637","ENSG00000157734",15,"q22.31","SNX22","15q"
"37639","ENSG00000203859",1,"p12","HSD3B2","1p"
"37642","ENSG00000182601",16,"p12.1","HS3ST4","16p"
